region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED510,17,10,27,1393,281,1674,21,3,24,3,0,3,92,93,185,22642,18242,40884,2595,1970,4565,903,49,952,366,74,440,443,108,551,995,255,1250,2484,2229,4713,31954,23314,55268,0,3,3,3,0,3,0,0,0,0,3,3,3,0,3,3,0,3,9,6,15,0,0,0,0,0,0,75,22,97,16,16,32,47,9,56,138,47,185,385,147,532,532,200,732,9,0,9,51,12,63,45,19,64,105,31,136,3091,2799,5890,3621,4139,7760,698,481,1179,40001,30964,70965
CED511,352,511,863,828,314,1142,13,3,16,11,3,14,53,25,78,24818,20506,45324,2166,1967,4133,1051,36,1087,311,29,340,172,48,220,873,177,1050,836,765,1601,31484,24384,55868,298,283,581,0,0,0,0,0,0,593,565,1158,70,120,190,23,4,27,984,972,1956,3,0,3,0,0,0,53,35,88,28,48,76,26,3,29,110,86,196,356,123,479,1450,1181,2631,160,182,342,23,7,30,17,8,25,200,197,397,1530,2211,3741,3737,4731,8468,588,460,1048,38989,33164,72153
CED512,1441,1328,2769,2659,2782,5441,16,9,25,13,11,24,184,80,264,24360,18576,42936,1820,2309,4129,463,16,479,438,73,511,1058,313,1371,578,185,763,2125,1806,3931,35155,27488,62643,535,494,1029,0,0,0,0,3,3,233,267,500,50,85,135,53,26,79,871,875,1746,3,0,3,0,0,0,95,139,234,55,104,159,59,31,90,212,274,486,282,144,426,1365,1293,2658,135,140,275,25,14,39,29,3,32,189,157,346,953,1229,2182,3216,4438,7654,540,424,964,41418,35029,76447
CED513,655,663,1318,1384,1575,2959,4,6,10,9,4,13,152,56,208,25167,19646,44813,1625,2236,3861,497,15,512,389,63,452,658,139,797,504,144,648,532,486,1018,31576,25033,56609,707,650,1357,3,0,3,0,0,0,304,328,632,59,95,154,29,14,43,1102,1087,2189,0,0,0,0,0,0,81,116,197,41,94,135,30,15,45,152,225,377,268,122,390,1522,1434,2956,162,178,340,23,11,34,13,4,17,198,193,391,957,1323,2280,2809,4146,6955,506,406,912,37568,32535,70103
CED514,1061,1014,2075,3019,3189,6208,48,26,74,3,3,6,166,69,235,26867,19592,46459,1978,2433,4411,496,19,515,405,69,474,1153,290,1443,685,166,851,983,896,1879,36864,27766,64630,655,665,1320,6,0,6,3,0,3,258,246,504,34,90,124,47,18,65,1003,1019,2022,11,11,22,0,3,3,127,157,284,67,155,222,64,32,96,269,358,627,347,135,482,1619,1512,3131,167,203,370,31,20,51,20,8,28,218,231,449,930,1253,2183,3447,4611,8058,586,415,1001,43664,35788,79452
CED515,870,803,1673,1206,1105,2311,14,0,14,10,6,16,83,32,115,25182,20508,45690,1459,2055,3514,306,15,321,261,25,286,706,127,833,475,139,614,562,522,1084,31134,25337,56471,1423,1038,2461,0,0,0,0,0,0,429,369,798,76,121,197,45,8,53,1973,1536,3509,4,0,4,0,0,0,54,79,133,46,93,139,19,7,26,123,179,302,258,131,389,2354,1846,4200,253,298,551,18,8,26,12,9,21,283,315,598,1205,1642,2847,3184,4694,7878,450,400,850,38610,34234,72844
CED594,28,19,47,171,54,225,4,0,4,0,3,3,0,4,4,609,313,922,148,87,235,31,3,34,10,3,13,21,24,45,110,26,136,175,163,338,1307,699,2006,19,17,36,0,0,0,0,0,0,4,10,14,0,4,4,4,4,8,27,35,62,0,0,0,0,0,0,0,4,4,0,4,4,8,0,8,8,8,16,20,5,25,55,48,103,3,3,6,4,0,4,7,3,10,14,6,20,24,32,56,192,175,367,29,14,43,1621,974,2595
CED597,0,0,0,3,0,3,8,0,8,0,0,0,4,0,4,19,0,19,0,0,0,0,0,0,0,0,0,4,0,4,186,5,191,52,11,63,276,16,292,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,10,0,10,0,0,0,3,0,3,0,0,0,3,0,3,4,3,7,10,4,14,7,0,7,310,23,333
CED601,5,6,11,244,346,590,6,3,9,3,0,3,101,66,167,15946,13286,29232,1357,1563,2920,336,10,346,219,36,255,213,42,255,186,54,240,1070,1047,2117,19686,16459,36145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,45,18,26,44,10,7,17,40,66,106,188,86,274,228,152,380,6,0,6,6,15,21,3,4,7,15,19,34,704,893,1597,1991,3318,5309,306,279,585,22930,21120,44050
CED602,9,4,13,206,110,316,19,3,22,0,3,3,18,41,59,14895,12425,27320,1327,1311,2638,409,7,416,213,46,259,135,17,152,250,70,320,988,893,1881,18469,14930,33399,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,24,7,31,9,12,21,4,5,9,37,24,61,167,65,232,207,89,296,0,0,0,4,4,8,11,6,17,15,10,25,855,963,1818,2010,2877,4887,348,321,669,21904,19190,41094
CED603,9,9,18,1022,1282,2304,12,3,15,5,6,11,129,101,230,13914,11607,25521,1420,2250,3670,241,8,249,212,58,270,520,162,682,183,60,243,2148,2178,4326,19815,17724,37539,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,41,97,138,50,98,148,36,32,68,127,227,354,180,151,331,311,378,689,10,0,10,23,22,45,14,17,31,47,39,86,750,898,1648,2224,3595,5819,308,282,590,23455,22916,46371
CED604,5,7,12,861,1050,1911,9,6,15,8,3,11,39,23,62,15622,12996,28618,1216,1974,3190,369,15,384,173,24,197,176,25,201,194,74,268,471,453,924,19143,16650,35793,4,0,4,0,0,0,0,3,3,3,0,3,3,0,3,0,0,0,10,3,13,0,0,0,0,0,0,63,112,175,52,85,137,20,13,33,135,210,345,147,119,266,292,332,624,3,3,6,13,14,27,11,6,17,27,23,50,851,981,1832,2099,3568,5667,262,278,540,22674,21832,44506
CED605,6,6,12,170,203,373,9,3,12,0,0,0,22,13,35,14466,11831,26297,1163,1173,2336,628,14,642,138,25,163,67,15,82,238,86,324,840,700,1540,17747,14069,31816,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,5,37,42,19,35,54,3,3,6,30,75,105,169,81,250,199,159,358,0,0,0,0,8,8,8,5,13,8,13,21,1412,1397,2809,2096,3039,5135,400,359,759,21862,19036,40898
CED694,0,0,0,8,4,12,0,0,0,0,0,0,0,3,3,93,53,146,21,19,40,4,0,4,0,0,0,0,0,0,6,3,9,28,6,34,160,88,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,21,18,39,0,5,5,184,115,299
CED697,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,3,7,3,0,3,0,0,0,0,0,0,0,0,0,17,3,20,23,5,28,51,11,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3,9,0,3,3,60,17,77
CED701,8,0,8,1009,331,1340,31,23,54,3,5,8,68,42,110,11847,9985,21832,1798,1915,3713,421,28,449,423,139,562,715,399,1114,434,157,591,3824,4100,7924,20581,17124,37705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,22,0,0,0,36,26,62,23,20,43,26,6,32,96,63,159,280,189,469,376,252,628,6,0,6,22,23,45,41,29,70,69,52,121,689,850,1539,1632,1811,3443,591,481,1072,23938,20570,44508
CED702,7,9,16,872,1039,1911,15,6,21,8,0,8,116,93,209,18415,15552,33967,1662,2412,4074,273,8,281,751,144,895,1093,537,1630,503,140,643,1599,1264,2863,25314,21204,46518,5,5,10,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,11,16,0,0,0,0,0,0,32,42,74,49,76,125,30,34,64,111,152,263,294,171,465,410,334,744,3,0,3,23,19,42,26,11,37,52,30,82,490,725,1215,2421,2546,4967,449,355,804,29136,25194,54330
CED794,0,0,0,22,12,34,0,0,0,0,0,0,0,3,3,121,60,181,27,18,45,4,3,7,5,0,5,7,9,16,14,9,23,52,77,129,252,191,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,3,0,3,6,4,10,63,51,114,9,3,12,333,252,585
CED797,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,46,4,50,11,3,14,64,10,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,71,10,81
CED801,28,11,39,2140,2223,4363,6,3,9,4,4,8,148,81,229,32409,28309,60718,2358,4032,6390,652,14,666,721,98,819,1095,319,1414,248,106,354,1386,1353,2739,41195,36553,77748,4,0,4,0,0,0,0,0,0,4,0,4,0,3,3,0,3,3,8,6,14,0,3,3,0,0,0,152,193,345,114,212,326,52,25,77,318,433,751,376,234,610,702,673,1375,9,7,16,37,24,61,43,17,60,89,48,137,1173,1548,2721,3743,6138,9881,490,501,991,47392,45461,92853
CED802,43,30,73,3266,3399,6665,9,4,13,8,6,14,134,101,235,33039,28254,61293,2504,4713,7217,605,10,615,868,112,980,2286,972,3258,371,140,511,3077,2373,5450,46210,40114,86324,4,8,12,0,0,0,0,0,0,0,3,3,3,0,3,7,0,7,14,11,25,0,0,0,0,0,0,183,186,369,144,265,409,65,64,129,392,515,907,433,296,729,839,822,1661,14,8,22,46,50,96,37,23,60,97,81,178,1175,1423,2598,4291,6869,11160,530,441,971,53142,49750,102892
CED894,0,0,0,14,15,29,0,0,0,0,0,0,0,0,0,73,62,135,11,9,20,3,0,3,0,0,0,3,3,6,3,3,6,18,12,30,125,104,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,7,17,24,3,3,6,139,130,269
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
CED994,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,4,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,13,20
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
